Model,Training_Rate,Activation,MSE,MAE
fcnn,0.1,relu,800.1221923828125,23.796051025390625
fcnn,0.1,relu,670.8786010742188,15.706916809082031
fcnn,0.1,relu,1522.5009765625,32.796443939208984
fcnn,0.1,relu,2817.614013671875,30.22816276550293
fcnn,0.1,relu,521.083984375,15.076645851135254
fcnn,0.1,relu,1538.1715087890625,32.739158630371094
fcnn,0.1,relu,1755.8836669921875,38.4037971496582
fcnn,0.1,relu,6169.2705078125,69.29131317138672
fcnn,0.1,relu,529.973876953125,15.726489067077637
fcnn,0.1,relu,766.5689697265625,20.092811584472656
fcnn,0.1,relu,2033.3427734375,34.78838348388672
fcnn,0.1,relu,792.9468383789062,17.06231689453125
fcnn,0.1,relu,1217.341796875,27.657119750976562
fcnn,0.1,relu,1517.052001953125,31.780166625976562
fcnn,0.1,relu,5485.6376953125,60.73056411743164
fcnn,0.1,relu,957.59326171875,25.027584075927734
fcnn,0.1,relu,632.7999877929688,15.849590301513672
fcnn,0.1,relu,6252.6279296875,68.509765625
fcnn,0.1,relu,2188.14501953125,34.9747200012207
fcnn,0.1,relu,541.5082397460938,18.27118682861328
fcnn,0.1,relu,680.80126953125,19.041730880737305
fcnn,0.1,relu,454.60870361328125,14.580802917480469
fcnn,0.1,relu,1267.3365478515625,30.405887603759766
fcnn,0.1,relu,1730.53125,38.1671257019043
fcnn,0.1,relu,864.629638671875,24.9385986328125
fcnn,0.1,relu,713.6480712890625,18.529603958129883
fcnn,0.1,relu,1843.85986328125,38.6307487487793
fcnn,0.1,relu,465.2507019042969,15.293170928955078
fcnn,0.1,relu,2133.452392578125,41.07837677001953
fcnn,0.1,relu,960.9359741210938,19.918832778930664
fcnn,0.1,relu,519.689697265625,14.645318031311035
fcnn,0.1,relu,748.4945678710938,21.40241241455078
fcnn,0.1,relu,6252.6279296875,68.509765625
fcnn,0.1,relu,439.59033203125,13.959054946899414
fcnn,0.1,relu,606.861328125,20.369855880737305
fcnn,0.1,relu,1701.5875244140625,24.176103591918945
fcnn,0.1,relu,1094.72802734375,24.114948272705078
fcnn,0.1,relu,2284.485107421875,39.969173431396484
fcnn,0.1,relu,751.3297119140625,18.479961395263672
fcnn,0.1,relu,439.4448547363281,14.691201210021973
